Shipment_Type_ID,Cargo_Category,Cargo_Subcategory,Avg_Weight_kg,Avg_Volume_cbm,Handling_Cost,Risk_Level,Temperature_Control,SLA_Days
SHP0071,Textiles,Footwear,120.4,1.43,426.53,Low,No,5
SHP0072,Pharma,Vaccines,149.2,9.42,473.15,High,Yes,14
SHP0073,Automotive,Tyres,1141.0,2.11,202.63,Low,No,9
SHP0074,Electronics,Mobile,1406.25,7.75,399.33,Medium,Yes,1
SHP0075,FMCG,Beverages,1336.15,4.8,230.82,Low,No,7
SHP0076,Automotive,Tyres,1056.41,0.53,71.71,High,Yes,6
SHP0077,Pharma,Medicines,902.93,7.19,83.36,Low,Yes,8
SHP0078,FMCG,Personal Care,680.1,3.04,98.79,Medium,No,7
SHP0079,Textiles,Home Fabrics,484.93,6.32,251.12,Medium,No,4
SHP0080,FMCG,Beverages,1022.65,3.92,472.93,High,No,9
SHP0081,Textiles,Clothing,714.74,7.84,148.09,Low,Yes,1
SHP0082,Textiles,Footwear,890.72,0.43,124.02,Medium,Yes,1
SHP0083,Textiles,Clothing,865.18,0.37,29.48,Medium,Yes,4
SHP0084,Electronics,Mobile,739.27,7.15,46.11,Low,No,9
SHP0085,FMCG,Personal Care,756.06,2.4,208.68,Medium,No,4
SHP0086,Electronics,Laptop,868.11,1.66,229.14,Low,Yes,11
SHP0087,Electronics,TV,74.21,3.86,477.32,Low,Yes,9
SHP0088,Electronics,Accessories,287.07,9.14,283.61,Low,No,1
SHP0089,FMCG,Beverages,1075.64,3.74,261.12,Medium,Yes,14
SHP0090,Pharma,Vaccines,785.04,1.34,310.59,Low,Yes,13
SHP0091,FMCG,Packaged Food,1238.73,1.48,5.97,Medium,Yes,14
SHP0092,Textiles,Footwear,827.67,8.23,119.61,Medium,No,11
SHP0093,Automotive,Tyres,585.21,6.96,491.47,Low,No,6
SHP0094,Textiles,Clothing,1122.0,3.75,157.44,Medium,No,13
SHP0095,Pharma,Medical Devices,453.71,3.53,346.97,High,Yes,12
SHP0096,Textiles,Clothing,156.12,0.63,424.56,Low,Yes,8
SHP0097,Pharma,Vaccines,1448.94,3.36,423.64,High,No,3
SHP0098,Automotive,Tyres,1339.97,4.97,395.37,Low,No,12
SHP0099,Textiles,Home Fabrics,958.0,8.24,33.19,Medium,No,5
SHP0100,Automotive,Tyres,331.72,7.23,340.28,Medium,No,11
SHP0101,Pharma,Medical Devices,1312.57,9.47,86.14,Low,No,14
SHP0102,Pharma,Medical Devices,1180.33,2.87,304.24,Low,Yes,8
SHP0103,Automotive,Batteries,34.8,3.14,291.6,Medium,No,12
SHP0104,Automotive,Tyres,192.38,2.85,355.5,Medium,Yes,5
SHP0105,Textiles,Home Fabrics,507.43,2.2,75.55,High,No,13
SHP0106,Electronics,TV,647.48,3.2,263.04,Low,No,1
SHP0107,Pharma,Medical Devices,882.2,1.47,119.63,Medium,No,3
SHP0108,Automotive,Batteries,756.68,5.66,123.89,High,No,13
SHP0109,Textiles,Clothing,95.68,10.99,410.63,High,No,4
SHP0110,Pharma,Vaccines,947.38,6.81,493.12,Low,Yes,10
SHP0111,FMCG,Personal Care,626.37,1.37,350.19,Medium,Yes,4
SHP0112,FMCG,Packaged Food,593.69,9.81,449.57,Medium,No,1
SHP0113,Pharma,Medical Devices,1161.25,1.29,342.1,Medium,No,12
SHP0114,FMCG,Packaged Food,244.54,5.67,189.16,High,Yes,11
SHP0115,FMCG,Packaged Food,1001.19,3.94,271.27,High,Yes,1
SHP0116,FMCG,Beverages,1052.58,5.1,187.93,Medium,Yes,13
SHP0117,Electronics,Accessories,1481.06,0.7,210.95,Low,Yes,12
SHP0118,FMCG,Personal Care,1132.95,9.42,60.03,Low,No,8
SHP0119,Textiles,Home Fabrics,897.44,0.28,206.26,Medium,Yes,4
SHP0120,Electronics,Accessories,942.97,6.84,405.1,Low,Yes,7
SHP0121,Electronics,Mobile,402.22,0.6,452.55,Low,No,8
SHP0122,FMCG,Beverages,1151.4,6.78,420.0,Low,No,5
SHP0123,FMCG,Personal Care,1316.62,5.36,154.4,Low,Yes,8
SHP0124,Pharma,Vaccines,1073.78,9.87,144.34,Medium,No,4
SHP0125,Pharma,Vaccines,249.42,10.53,498.82,Low,No,4
SHP0126,FMCG,Beverages,979.7,1.22,444.01,Low,No,3
SHP0127,Automotive,Batteries,696.45,4.19,130.31,Medium,Yes,3
SHP0128,FMCG,Beverages,937.83,3.1,231.94,High,Yes,11
SHP0129,FMCG,Beverages,998.55,7.28,14.76,High,Yes,14
SHP0130,FMCG,Packaged Food,671.89,10.62,8.19,High,Yes,12
SHP0131,FMCG,Packaged Food,1494.28,4.39,92.88,Low,No,6
SHP0132,Textiles,Clothing,1341.02,6.62,425.16,Medium,No,8
SHP0133,Electronics,Laptop,207.28,0.04,483.27,Medium,Yes,5
SHP0134,Electronics,Laptop,868.83,4.87,55.68,Medium,No,12
SHP0135,Automotive,Tyres,762.33,9.46,281.37,Low,No,11
SHP0136,Pharma,Medicines,651.85,2.64,18.79,Low,No,3
SHP0137,Textiles,Clothing,771.4,8.43,110.55,Low,No,8
SHP0138,Pharma,Medicines,115.22,2.22,58.74,Medium,Yes,12
SHP0139,Textiles,Clothing,458.99,6.24,161.93,Medium,Yes,1
SHP0140,FMCG,Personal Care,582.35,4.88,159.97,Low,No,9
SHP0141,Electronics,Accessories,747.64,9.08,381.23,High,No,5
SHP0142,Automotive,Tyres,370.09,3.46,71.94,Medium,Yes,2
SHP0143,Electronics,Mobile,1276.76,3.1,407.95,Medium,Yes,9
SHP0144,Electronics,Mobile,464.15,0.58,175.66,Low,Yes,11
SHP0145,Pharma,Medical Devices,978.3,2.6,293.42,Low,No,4
SHP0146,Electronics,TV,1289.48,6.46,117.92,Medium,No,5
SHP0147,Automotive,Batteries,1059.82,1.74,316.88,Low,No,11
SHP0148,Pharma,Medical Devices,686.46,1.52,129.99,Low,No,12
SHP0149,Pharma,Medical Devices,1436.61,5.95,28.54,High,Yes,5
SHP0150,Electronics,Laptop,824.17,6.88,38.85,Medium,Yes,9
SHP0151,Pharma,Medicines,170.33,4.8,269.21,High,No,10
SHP0152,Automotive,Spare Parts,94.95,6.7,302.63,Low,Yes,2
SHP0153,Automotive,Spare Parts,1102.86,6.41,208.71,Low,No,6
SHP0154,Textiles,Clothing,5.98,11.25,495.4,Medium,Yes,5
SHP0155,Textiles,Clothing,1338.57,6.75,79.4,Low,No,3
SHP0156,Automotive,Spare Parts,1390.73,7.13,79.82,High,Yes,8
SHP0157,Electronics,Accessories,906.11,5.73,447.31,High,Yes,4
SHP0158,Pharma,Medicines,262.3,1.08,442.94,High,No,12
SHP0159,FMCG,Beverages,709.32,4.93,481.6,Medium,Yes,10
SHP0160,Pharma,Vaccines,90.02,1.95,88.72,Medium,Yes,9
SHP0161,Automotive,Tyres,83.61,4.23,168.26,Medium,Yes,9
SHP0162,Electronics,Accessories,1063.44,10.89,217.79,High,No,9
SHP0163,Electronics,TV,1067.75,1.42,246.95,Medium,No,3
SHP0164,Electronics,TV,921.01,6.69,464.84,Medium,Yes,4
SHP0165,Pharma,Medical Devices,690.85,10.12,334.21,Low,Yes,2
SHP0166,Electronics,Laptop,1127.42,6.03,146.62,High,No,1
SHP0167,Automotive,Batteries,1095.78,0.2,301.44,Low,Yes,3
SHP0168,FMCG,Personal Care,1374.38,4.1,120.96,Medium,No,5
SHP0169,Electronics,Laptop,265.08,5.34,146.77,Low,No,13
SHP0170,FMCG,Personal Care,1165.81,0.95,194.36,Low,Yes,13
SHP0171,Electronics,Mobile,19.77,3.94,370.67,High,No,2
SHP0172,Electronics,TV,380.68,3.98,56.59,Low,No,1
SHP0173,Textiles,Home Fabrics,755.64,2.45,232.94,Low,Yes,6
SHP0174,Textiles,Footwear,108.5,2.82,256.99,High,Yes,1
SHP0175,Textiles,Clothing,922.93,8.66,146.29,High,Yes,5
SHP0176,FMCG,Packaged Food,341.67,4.02,288.39,High,No,9
SHP0177,Textiles,Footwear,998.19,9.15,116.26,Low,Yes,9
SHP0178,Textiles,Clothing,785.17,4.39,47.25,Low,No,4
SHP0179,Pharma,Medical Devices,1253.07,0.09,96.81,Low,No,7
SHP0180,Textiles,Footwear,1135.83,6.66,130.15,Medium,Yes,5
SHP0181,Pharma,Vaccines,189.39,5.48,236.13,Low,Yes,4
SHP0182,Textiles,Home Fabrics,956.65,9.75,155.05,Medium,No,2
SHP0183,Automotive,Tyres,341.89,4.41,407.35,Low,No,7
SHP0184,Pharma,Vaccines,988.13,1.5,320.34,High,Yes,3
SHP0185,Textiles,Clothing,511.81,10.42,261.13,Medium,No,8
SHP0186,Pharma,Vaccines,576.83,4.97,170.34,Medium,Yes,14
SHP0187,FMCG,Personal Care,250.97,4.83,86.18,High,No,6
SHP0188,Electronics,Mobile,1492.97,0.8,359.19,Low,Yes,10
SHP0189,Pharma,Medicines,61.02,2.21,220.63,Low,Yes,3
SHP0190,Textiles,Home Fabrics,737.9,7.19,488.69,Medium,Yes,1
SHP0191,Electronics,Accessories,1081.9,6.67,124.92,Medium,Yes,14
SHP0192,FMCG,Beverages,587.51,11.43,86.34,High,Yes,7
SHP0193,Electronics,Mobile,839.17,5.77,56.06,Medium,Yes,11
SHP0194,Pharma,Medical Devices,1289.57,9.52,300.26,Medium,Yes,12
SHP0195,Pharma,Medical Devices,1197.66,11.56,296.18,High,Yes,14
SHP0196,Textiles,Home Fabrics,1321.73,6.68,316.33,High,Yes,7
SHP0197,FMCG,Packaged Food,1265.19,0.94,117.58,High,No,10
SHP0198,Pharma,Medical Devices,36.6,8.71,478.31,Medium,Yes,4
SHP0199,Textiles,Clothing,1254.07,0.79,243.02,Medium,Yes,14
SHP0200,FMCG,Personal Care,913.81,11.78,41.75,Low,No,13
SHP0201,Pharma,Medical Devices,1244.92,4.64,235.2,Medium,Yes,11
SHP0202,Pharma,Vaccines,309.9,3.04,134.48,High,No,7
SHP0203,Automotive,Batteries,80.47,6.6,74.98,Low,Yes,14
SHP0204,Electronics,Mobile,62.21,2.61,230.68,Medium,Yes,7
SHP0205,Pharma,Vaccines,713.45,3.98,109.24,High,No,5
SHP0206,Textiles,Footwear,1205.44,10.87,16.95,Low,Yes,10
SHP0207,Electronics,Laptop,351.39,8.31,372.94,High,Yes,3
SHP0208,Pharma,Medicines,1299.39,8.63,390.07,Medium,Yes,6
SHP0209,Pharma,Medical Devices,777.72,6.45,246.95,High,No,6
SHP0210,Electronics,TV,1335.2,9.93,52.5,Medium,Yes,14
SHP0211,Textiles,Home Fabrics,1171.38,1.34,450.06,High,Yes,8
SHP0212,Electronics,Mobile,916.32,10.47,498.59,High,No,13
SHP0213,Electronics,Laptop,1397.46,0.34,196.35,Medium,No,7
SHP0214,Automotive,Spare Parts,215.66,6.65,355.17,Low,No,2
SHP0215,Pharma,Medicines,989.75,0.08,246.83,Medium,Yes,4
SHP0216,Electronics,TV,434.49,8.4,33.87,High,Yes,14
SHP0217,Automotive,Tyres,207.33,6.17,441.85,High,No,3
SHP0218,Textiles,Clothing,337.51,2.75,434.8,Low,Yes,4
SHP0219,Textiles,Clothing,1177.96,7.08,162.23,Medium,Yes,7
SHP0220,Automotive,Tyres,264.59,11.46,32.25,Low,No,12
SHP0221,Electronics,Accessories,409.53,8.16,45.4,Low,Yes,4
SHP0222,Textiles,Home Fabrics,567.03,2.37,143.12,Low,No,8
SHP0223,Electronics,Accessories,137.81,10.91,481.61,Medium,Yes,4
SHP0224,FMCG,Beverages,824.19,2.48,300.06,Low,Yes,12
SHP0225,Automotive,Tyres,137.69,3.62,326.95,Medium,No,4
SHP0226,Automotive,Batteries,1293.86,9.3,360.45,High,No,1
SHP0227,FMCG,Personal Care,429.94,2.91,118.19,Medium,Yes,5
SHP0228,FMCG,Beverages,1131.21,11.52,192.84,High,No,5
SHP0229,FMCG,Beverages,970.24,11.72,129.42,Low,Yes,2
SHP0230,FMCG,Packaged Food,915.58,0.84,72.56,Low,No,6
SHP0231,Textiles,Clothing,1.96,11.3,254.03,High,Yes,6
SHP0232,Pharma,Vaccines,441.02,9.49,51.96,High,Yes,7
SHP0233,Electronics,Accessories,1366.8,2.33,417.22,High,No,11
SHP0234,Pharma,Vaccines,746.71,0.14,453.31,Medium,No,10
SHP0235,Textiles,Home Fabrics,70.72,9.08,334.46,Medium,No,3
SHP0236,FMCG,Beverages,288.95,11.43,375.79,Low,No,11
SHP0237,FMCG,Personal Care,988.82,7.0,412.12,High,Yes,11
SHP0238,Automotive,Batteries,641.71,7.07,308.41,Low,No,7
SHP0239,Electronics,Laptop,210.53,6.89,207.06,Low,Yes,7
SHP0240,Automotive,Spare Parts,490.05,4.9,475.52,High,Yes,6
SHP0241,Pharma,Medicines,1197.59,9.14,178.39,Medium,No,10
SHP0242,Automotive,Spare Parts,1033.44,2.24,357.69,Low,No,5
SHP0243,Pharma,Vaccines,774.34,7.13,385.52,Medium,Yes,12
SHP0244,Textiles,Home Fabrics,96.9,7.25,29.48,Medium,No,8
SHP0245,Automotive,Tyres,921.47,6.99,202.47,High,Yes,9
SHP0246,Pharma,Medicines,484.31,6.34,341.71,High,Yes,6
SHP0247,FMCG,Packaged Food,662.87,2.73,273.84,Low,Yes,6
SHP0248,Pharma,Medicines,752.88,8.88,484.71,High,Yes,7
SHP0249,Pharma,Medicines,574.09,6.5,429.04,High,Yes,6
SHP0250,Pharma,Vaccines,346.45,2.13,295.33,Low,Yes,14
SHP0251,Textiles,Home Fabrics,112.71,4.85,64.31,Medium,Yes,13
SHP0252,Pharma,Medicines,964.65,5.55,430.62,High,No,3
SHP0253,Textiles,Footwear,827.97,1.4,468.34,High,No,10
SHP0254,Pharma,Vaccines,1320.21,0.13,382.5,High,No,8
SHP0255,Electronics,TV,633.73,10.25,73.82,Low,Yes,14
SHP0256,Pharma,Vaccines,1156.37,9.79,67.18,Medium,No,7
SHP0257,Textiles,Home Fabrics,495.71,9.18,434.63,Medium,No,1
SHP0258,Pharma,Medicines,199.11,10.5,206.68,High,Yes,4
SHP0259,Automotive,Spare Parts,491.01,9.06,370.49,Low,No,9
SHP0260,Pharma,Vaccines,678.74,2.15,417.02,High,Yes,11
SHP0261,FMCG,Beverages,1022.66,8.52,305.47,Medium,Yes,4
SHP0262,Pharma,Vaccines,547.19,9.79,34.52,Low,Yes,13
SHP0263,FMCG,Beverages,1103.95,1.7,246.44,High,Yes,7
SHP0264,Automotive,Tyres,65.67,7.01,327.7,Medium,Yes,8
SHP0265,Pharma,Medical Devices,627.18,11.8,425.99,Low,No,10
SHP0266,Electronics,Mobile,88.73,5.41,139.39,Low,No,11
SHP0267,Automotive,Spare Parts,281.53,3.31,400.69,Low,Yes,7
SHP0268,Electronics,Mobile,733.9,6.9,252.23,Low,Yes,3
SHP0269,Textiles,Footwear,1404.9,9.33,103.38,Low,No,13
SHP0270,Electronics,Mobile,54.87,3.53,143.05,Low,Yes,5
SHP0271,Electronics,Accessories,925.21,4.69,264.65,High,No,7
SHP0272,FMCG,Personal Care,1277.57,6.14,418.74,Low,Yes,6
SHP0273,FMCG,Beverages,342.38,3.12,401.03,High,Yes,8
SHP0274,Automotive,Tyres,1345.18,2.0,479.14,Medium,No,2
SHP0275,FMCG,Packaged Food,1348.34,11.45,335.14,Low,No,8
SHP0276,Textiles,Footwear,1112.9,4.09,52.06,Low,No,10
SHP0277,Automotive,Spare Parts,536.98,1.15,494.61,Medium,Yes,6
SHP0278,Automotive,Spare Parts,762.68,0.77,407.64,High,No,10
SHP0279,Electronics,Mobile,482.04,8.9,381.47,Medium,Yes,12
SHP0280,Textiles,Clothing,643.02,7.98,351.42,Medium,Yes,6
SHP0281,FMCG,Personal Care,448.6,0.19,326.29,Medium,Yes,7
SHP0282,Pharma,Vaccines,685.09,7.76,342.86,Low,No,7
SHP0283,Automotive,Batteries,850.78,3.68,211.81,Low,Yes,2
SHP0284,FMCG,Packaged Food,1002.65,11.52,28.15,High,Yes,1
SHP0285,Electronics,Laptop,1135.54,8.96,254.03,Low,Yes,6
SHP0286,Textiles,Home Fabrics,860.28,5.24,189.93,Low,Yes,11
SHP0287,Automotive,Batteries,1224.53,2.64,306.59,Low,Yes,12
SHP0288,Textiles,Clothing,153.53,1.25,115.21,Medium,Yes,5
SHP0289,Pharma,Medical Devices,253.78,4.13,424.75,Low,No,4
SHP0290,Pharma,Vaccines,830.7,0.84,28.09,Medium,Yes,10
SHP0291,Electronics,Laptop,595.74,2.71,97.33,Low,Yes,2
SHP0292,FMCG,Personal Care,637.13,11.22,297.54,Low,No,3
SHP0293,Electronics,Mobile,935.65,7.24,337.84,Medium,No,1
SHP0294,Electronics,TV,293.33,2.81,470.18,Low,No,5
SHP0295,Pharma,Medical Devices,146.12,7.55,367.82,Medium,No,7
SHP0296,Textiles,Clothing,190.48,7.63,230.78,High,No,13
SHP0297,Electronics,TV,267.56,9.94,222.52,Low,Yes,4
SHP0298,Pharma,Medical Devices,1063.15,3.02,93.81,Low,Yes,2
SHP0299,Textiles,Home Fabrics,1348.38,2.94,160.92,Low,No,4
SHP0300,Automotive,Batteries,696.52,6.46,142.17,Medium,Yes,8
SHP0301,Electronics,Accessories,1253.81,7.89,249.62,Low,No,6
SHP0302,FMCG,Packaged Food,1244.5,4.8,443.4,Medium,No,7
SHP0303,Automotive,Tyres,400.78,4.37,471.9,Medium,Yes,14
SHP0304,Textiles,Home Fabrics,301.28,6.7,287.13,High,No,12
SHP0305,Electronics,TV,1230.75,5.03,332.38,High,No,4
SHP0306,Textiles,Home Fabrics,262.61,7.66,97.71,Low,Yes,2
SHP0307,Pharma,Vaccines,1420.07,8.15,186.59,Medium,Yes,13
SHP0308,Automotive,Tyres,983.09,3.44,33.5,Medium,Yes,12
SHP0309,FMCG,Beverages,79.38,0.94,18.59,Low,No,9
SHP0310,Electronics,Mobile,623.25,4.32,230.19,Low,No,8
SHP0311,Automotive,Spare Parts,728.9,2.46,105.4,Medium,No,10
SHP0312,Automotive,Tyres,893.47,9.69,498.94,Low,No,11
SHP0313,FMCG,Personal Care,242.51,8.19,242.37,High,No,13
SHP0314,Pharma,Medicines,340.06,0.87,252.48,Medium,Yes,11
SHP0315,Electronics,Accessories,1069.1,1.79,122.78,Low,No,4
SHP0316,Pharma,Medical Devices,1067.34,4.16,30.73,Medium,No,9
SHP0317,FMCG,Personal Care,885.52,1.65,144.28,High,Yes,1
SHP0318,FMCG,Beverages,318.66,0.77,143.06,High,No,14
SHP0319,FMCG,Packaged Food,362.93,2.2,216.27,Low,No,7
SHP0320,Pharma,Medicines,5.93,1.6,402.32,Medium,Yes,4
SHP0321,FMCG,Beverages,576.95,9.04,49.08,Low,Yes,10
SHP0322,Automotive,Batteries,1217.46,5.54,377.46,High,Yes,7
SHP0323,Automotive,Spare Parts,340.4,2.64,399.23,Medium,No,4
SHP0324,Automotive,Tyres,1104.67,5.85,412.24,High,No,7
SHP0325,Automotive,Tyres,1325.91,4.1,353.99,Low,Yes,4
SHP0326,Pharma,Medicines,505.58,2.21,430.84,High,No,11
SHP0327,Pharma,Medical Devices,102.1,8.73,198.37,Medium,No,5
SHP0328,FMCG,Packaged Food,722.72,10.68,313.66,Low,Yes,5
SHP0329,Pharma,Medical Devices,493.8,2.9,5.56,High,No,1
SHP0330,Automotive,Batteries,871.37,4.04,228.59,Low,No,13
SHP0331,Automotive,Spare Parts,114.29,11.64,462.37,Medium,No,7
SHP0332,Pharma,Medicines,624.96,7.3,111.88,High,Yes,11
SHP0333,Textiles,Clothing,745.22,4.24,493.25,Low,No,7
SHP0334,Textiles,Footwear,231.02,6.09,275.53,High,No,7
SHP0335,Pharma,Medical Devices,66.02,8.59,327.82,Low,Yes,13
SHP0336,Electronics,TV,720.73,9.81,361.2,High,No,11
SHP0337,Automotive,Batteries,1404.65,8.32,269.26,High,Yes,3
SHP0338,Electronics,Mobile,623.11,6.55,60.81,Medium,Yes,5
SHP0339,Pharma,Medical Devices,1447.63,2.06,481.15,Medium,No,5
SHP0340,Pharma,Medical Devices,864.91,1.89,150.82,Low,Yes,8
SHP0341,Automotive,Batteries,1499.21,5.54,406.25,Low,No,10
SHP0342,FMCG,Personal Care,1425.73,2.74,122.14,Medium,Yes,5
SHP0343,Textiles,Clothing,249.8,7.01,412.69,High,No,8
SHP0344,Electronics,TV,182.59,0.39,159.53,High,No,4
SHP0345,Automotive,Tyres,1132.48,9.38,449.23,Medium,Yes,13
SHP0346,Textiles,Clothing,993.08,5.58,431.33,Low,Yes,13
SHP0347,Textiles,Footwear,795.15,5.66,6.72,High,No,9
SHP0348,Pharma,Vaccines,273.13,11.59,333.97,High,Yes,10
SHP0349,Pharma,Medical Devices,1484.55,3.55,488.38,High,No,9
SHP0350,Electronics,Accessories,816.8,11.85,386.66,High,No,6
SHP0351,Textiles,Footwear,555.57,9.92,89.25,High,No,6
SHP0352,Textiles,Home Fabrics,287.24,6.88,484.43,Medium,No,6
SHP0353,Textiles,Home Fabrics,1034.84,0.16,203.7,High,No,1
SHP0354,Automotive,Tyres,221.54,3.98,217.36,High,No,14
SHP0355,Electronics,TV,103.25,4.42,310.32,Low,Yes,2
SHP0356,Electronics,Laptop,608.02,4.97,327.3,Medium,Yes,10
SHP0357,FMCG,Packaged Food,77.35,1.92,74.6,Low,Yes,7
SHP0358,Textiles,Clothing,621.33,5.35,179.79,High,Yes,14
SHP0359,FMCG,Personal Care,120.27,9.31,134.72,Low,Yes,9
SHP0360,Automotive,Spare Parts,623.25,6.97,14.69,Medium,Yes,11
SHP0361,Textiles,Footwear,274.8,3.58,45.16,Medium,Yes,13
SHP0362,Electronics,TV,136.1,7.26,417.7,Medium,Yes,10
SHP0363,Pharma,Medicines,228.19,4.98,186.6,Medium,No,11
SHP0364,Textiles,Footwear,555.94,4.15,458.09,Low,Yes,7
SHP0365,FMCG,Beverages,574.36,2.32,402.65,High,Yes,1
SHP0366,Pharma,Medical Devices,882.05,11.69,164.18,High,Yes,7
SHP0367,Pharma,Vaccines,1235.68,7.39,29.94,Low,Yes,12
SHP0368,Automotive,Tyres,1159.56,5.61,380.82,Low,No,13
SHP0369,Textiles,Home Fabrics,1282.31,10.5,437.92,Low,No,4
SHP0370,Electronics,Accessories,1043.04,3.67,130.47,Low,No,8
SHP0371,Automotive,Spare Parts,337.25,11.17,349.01,High,No,1
SHP0372,Pharma,Medical Devices,492.34,8.22,237.59,High,Yes,14
SHP0373,Pharma,Medicines,92.2,7.13,441.19,Low,Yes,13
